 id  |         key          |                    name                    | timebegin | timeend |         place         |                                                                 comment                                                                  
-----+----------------------+--------------------------------------------+-----------+---------+-----------------------+------------------------------------------------------------------------------------------------------------------------------------------
   3 | BARBER               | Barber, Samuel                             |      1910 |    1981 | America               | American
   4 | BARTOK               | Bartók, Béla                               |      1881 |    1945 | Hungary               | Hungarian; New York-based from 1940
   5 | BEETHOVEN            | Beethoven, Ludwig van                      |      1770 |    1827 | Vienna                | German; Vienna-based from 1792
   6 | BELLINI              | Bellini, Vincenzo                          |      1801 |    1835 | Italy                 | Italian
  10 | BIZET                | Bizet, Georges                             |      1838 |    1875 | Paris                 | French; Paris-based
   1 | BACHCARLPHILIPPEMANU | Bach, Carl Philipp Emanuel                 |      1714 |    1788 | Berlin                | German; Berlin-based 1738-68; Hamburg-based thereafter
   2 | BACHJOHANNSEBASTIAN  | Bach, Johann Sebastian                     |      1685 |    1750 | Leipzig               | German; Leipzig-based from 1723
   7 | BERGALBAN            | Berg, Alban                                |      1885 |    1935 | Vienna                | Austrian; Vienna-based
   8 | BERLIOZHECTOR        | Berlioz, Hector                            |      1803 |    1869 | Paris                 | French; mainly Paris-based from 1821
   9 | BERNSTEINLEONARD     | Bernstein, Leonard                         |      1918 |    1990 | New York              | American; mainly New York-based
  11 | BOCCHERINILUIGI      | Boccherini, Luigi                          |      1743 |    1805 | Italy                 | Italian; Spain-based after 1768
  12 | BORODINALEXANDER     | Borodin, Alexander                         |      1833 |    1887 | St. Petersburg        | Russian; St. Petersburg-based
  13 | BRAHMSJOHANNES       | Brahms, Johannes                           |      1833 |    1897 | Hamburg               | German; Hamburg-based to 1862; Vienna-based thereafter
  14 | BRITTENBENJAMIN      | Britten, Benjamin                          |      1913 |    1976 | England               | British
  15 | BRUCKNERANTON        | Bruckner, Anton                            |      1824 |    1896 | Vienna                | Austrian; Vienna-based from 1868
  16 | BUSONIFERRUCCIO      | Busoni, Ferruccio                          |      1866 |    1924 | Italy                 | Italian-German
  17 | BUXTEHUDEDIETERICH   | Buxtehude, Dieterich                       |      1637 |    1707 | Lubeck                | Danish-German; Lubeck-based from 1668
  18 | BYRDWILLIAM          | Byrd, William                              |      1539 |    1623 | Essex                 | British; Essex-based from 1593
  19 | CAGEJOHN             | Cage, John                                 |      1912 |    1992 | New York              | American; mainly California- & New York-based
  20 | CARTERELLIOTT        | Carter, Elliott                            |      1908 |    9999 | Greenwich Village     | American; Greenwich Village-based from 1945
  21 | CHOPINFRYDERYK       | Chopin, Fryderyk                           |      1810 |    1849 | Paris                 | Polish-French; mainly Paris-based from 1831
  22 | COPLANDAARON         | Copland, Aaron                             |      1900 |    1990 | New York              | American; mainly New York-based
  23 | CORELLIARCANGELO     | Corelli, Arcangelo                         |      1653 |    1713 | Rome                  | Italian; Rome-based from c1675
  24 | COUPERINFRANÇOIS     | Couperin, François                         |      1668 |    1733 | Paris                 | French; Paris-based
  25 | DEBUSSYCLAUDE        | Debussy, Claude                            |      1862 |    1918 | Paris                 | French; Paris-based
  26 | DELIUSFREDERICK      | Delius, Frederick                          |      1862 |    1934 | London                | British; in his early years based in London, the U.S. (Florida & Virginia), Leipzig & Paris; from 1897 Grez-sur-Loing (near Paris)-based
  27 | DONIZETTIGAETANO     | Donizetti, Gaetano                         |      1797 |    1848 | Naples                | Italian; Naples-based 1822-38, thereafter in Paris
  28 | DOWLANDJOHN          | Dowland, John                              |      1563 |    1626 | England               | British; travelled extensively in Europe for many years
  29 | DVORÁKANTONIN        | Dvorák, Antonin                            |      1841 |    1904 | Prague                | Bohemian; mainly Prague-based from 1857 (worked in the U.S. 1892-95)
  30 | ELGAREDWARD          | Elgar, Edward                              |      1857 |    1934 | England               | British
  31 | FALLAMANUELDE        | Falla, Manuel de                           |      1876 |    1946 | Cadiz                 | Spanish; Cadiz, Madrid, Paris, Granada & finally Argentina-based
  32 | FAURÉGABRIEL         | Fauré, Gabriel                             |      1845 |    1924 | Paris                 | French; mainly Paris-based from 1854
  33 | FRANCKCESAR          | Franck, Cesar                              |      1822 |    1890 | Paris                 | Belgian-French; Paris-based 1835-42 & from 1844
  34 | GERSHWINGEORGE       | Gershwin, George                           |      1898 |    1937 | New York              | American; New York-based
  35 | GLASSPHILIP          | Glass, Philip                              |      1937 |    9999 | New York              | American; New York-based from 1967
  36 | GLINKAMIKHAIL        | Glinka, Mikhail                            |      1804 |    1857 | Russia                | Russian; travelled widely in Europe
  37 | GLUCKCHRISTOPHWRVON  | Gluck, Christoph W.R. von                  |      1714 |    1787 | Vienna                | German; mainly Vienna-based from 1748
  38 | GOUNODCHARLES        | Gounod, Charles                            |      1818 |    1893 | Paris                 | French; mainly Paris-based
  39 | GRAINGERPERCY        | Grainger, Percy                            |      1882 |    1961 | Austrailia            | Australian-American; U.S.-based from 1914
  40 | GRANADOSENRIQUE      | Granados, Enrique                          |      1867 |    1916 | Barcelona             | Spanish; mainly Barcelona-based
  41 | GRIEGEDVARD          | Grieg, Edvard                              |      1843 |    1907 | Bergen, Norway        | Norwegian; Bergen-based from 1874
  42 | HANDELGEORGEFRIDERIC | Handel, George Frideric                    |      1685 |    1759 | London                | German-British; London-based from 1710
  43 | HAYDNFRANZJOSEPH     | Haydn, (Franz) Joseph                      |      1732 |    1809 | Vienna                | Austrian; intermittently & after 1795 Vienna-based
  44 | HINDEMITHPAUL        | Hindemith, Paul                            |      1895 |    1963 | Germany               | German; U.S. & Switzerland-based from 1940
  45 | HOLSTGUSTAV          | Holst, Gustav                              |      1874 |    1934 | Hammersmith, England  | British; taught at the St. Paul's Girl School, Hammersmith, from 1905
  46 | IVESCHARLES          | Ives, Charles                              |      1874 |    1954 | Connecticut           | American; mainly Connecticut- & New York-based
  47 | JANÁCEKLEOS          | Janácek, Leos                              |      1854 |    1928 | Brno, Moravia         | Moravian; Brno-based from 1880
  48 | JOSQUINDESPREZDESPRE | Josquin Desprez [des Prez, etc.]           |      1450 |    1521 | France                | French; France- & Italy-based
  49 | KODÁLYZOLTÁN         | Kodály, Zoltán                             |      1882 |    1967 | Budapest              | Hungarian; mainly Budapest-based from 1900
  50 | LASSOORLANDODIORLAND | Lasso, Orlando di [Orlandus Lassus, etc.]  |      1532 |    1594 | Munich                | Franco-Flemish; Munich-based from 1556
  51 | LEHÁRFRANZ           | Lehár, Franz                               |      1870 |    1948 | Vienna                | Hungarian-Austrian; mainly Vienna-based from 1899
  52 | LIGETIGYÖRGYSÁNDOR   | Ligeti, György Sándor                      |      1923 |    2006 | Hungary               | Hungarian-Austrian
  53 | LISZTFRANZ           | Liszt, Franz                               |      1811 |    1886 | Budapest              | Hungarian-French-German; had strong connections with Paris, Rome, Weimar, Budapest & Bayreuth
  54 | MAHLERGUSTAV         | Mahler, Gustav                             |      1860 |    1911 | Budapest              | Austrian; successively based in Budapest (1888-91), Hamburg (1891-7), Vienna (1897-1907) & New York (1908-11)
  55 | MARTINUBOHUSLAV      | Martinu, Bohuslav                          |      1890 |    1959 | Bohemia               | Bohemian; U.S.-based 1941-53
  56 | MASCAGNIPIETRO       | Mascagni, Pietro                           |      1863 |    1945 | Italy                 | Italian
  57 | MASSENETJULES        | Massenet, Jules                            |      1842 |    1912 | Paris                 | French; Paris-based from 1847
  58 | MENDELSSOHNBARTHOLDY | Mendelssohn(-Bartholdy), Felix             |      1809 |    1847 | Leipzig               | German; Leipzig-based from 1835
  59 | MESSIAENOLIVIER      | Messiaen, Olivier                          |      1908 |    1992 | Paris                 | French; mainly Paris-based from c1920
  60 | MEYERBEERGIACOMO     | Meyerbeer, Giacomo                         |      1791 |    1864 | Germany               | German-French
  61 | MILHAUDDARIUS        | Milhaud, Darius                            |      1892 |    1974 | France                | French; mainly U.S.-based 1940-71
  62 | MONTEVERDICLAUDIO    | Monteverdi, Claudio                        |      1567 |    1643 | Venice                | Italian; Venice-based from 1613
  63 | MOZARTWOLFGANGAMADEU | Mozart, Wolfgang Amadeus                   |      1756 |    1791 | Vienna                | Austrian; mainly Vienna-based, with significant stays in Salzburg, Milan, Paris, Munich & Prague
  64 | MUSSORGSKYMUSORGSKYE | Mussorgsky [Musorgsky, etc.], Modest       |      1835 |    1881 | St. Petersburg        | Russian; mainly St. Petersburg-based from c1849
  65 | NIELSENCARL          | Nielsen, Carl                              |      1865 |    1931 | Copenhagen            | Danish; mainly Copenhagen-based from 1884
  66 | OFFENBACHJACQUES     | Offenbach, Jacques                         |      1819 |    1880 | Paris                 | German-French; Paris-based from 1833
  67 | ORFFCARL             | Orff, Carl                                 |      1895 |    1982 | Munich                | German; Munich-based
  68 | PACHELBELJOHANN      | Pachelbel, Johann                          |      1653 |    1706 | Germany               | German
  69 | PAGANININICOLÒ       | Paganini, Nicolò                           |      1782 |    1840 | Italy                 | Italian
  70 | PALESTRINAGIOVANNIPI | Palestrina, Giovanni Pierluigi da          |      1525 |    1594 | Rome                  | Italian; Rome-based
  71 | PIAZZOLLAASTOR       | Piazzolla, Astor                           |      1921 |    1992 | Argentina             | Argentinian
  72 | POULENCFRANCIS       | Poulenc, Francis                           |      1899 |    1963 | Paris                 | French; Paris-based
  73 | PROKOFIEVSERGEI      | Prokofiev, Sergei                          |      1891 |    1953 | Moscow                | Russian; Paris-based 1920-36, Moscow-based thereafter
  74 | PUCCINIGIACOMO       | Puccini, Giacomo                           |      1858 |    1924 | Torre del Lago, Italy | Italian; from 1891 mainly Torre del Lago-based
  75 | PURCELLHENRY         | Purcell, Henry                             |      1658 |    1695 | London                | British; London-based from c1667
  76 | RACHMANINOVSERGEI    | Rachmaninov, Sergei                        |      1873 |    1943 | Russia                | Russian-American; mainly U.S.-based from 1918
  77 | RAMEAUJEANPHILIPPE   | Rameau, Jean-Philippe                      |      1683 |    1764 | Paris                 | French; Paris-based from c1722
  78 | RAVELMAURICE         | Ravel, Maurice                             |      1875 |    1937 | Paris                 | French; mainly Paris-based
  79 | REGERMAX             | Reger, Max                                 |      1873 |    1916 | Germany               | German
  80 | RIMSKYKORSAKOVNIKOLA | Rimsky-Korsakov, Nikolay                   |      1844 |    1908 | St. Petersburg        | Russian; mainly St. Petersburg-based from 1856
  81 | RODRIGOJOAQUÍN       | Rodrigo, Joaquín                           |      1901 |    1999 | Madrid                | Spanish; Madrid-based from 1939
  82 | ROSSINIGIOACHINO     | Rossini, Gioachino                         |      1792 |    1868 | Italy                 | Italian
  83 | SAINTSAËNSCHARLESCAM | Saint-Saëns, (Charles-)Camille             |      1835 |    1921 | Paris                 | French; mainly Paris-based
  84 | SATIEERIK            | Satie, Erik                                |      1866 |    1925 | Paris                 | French; Paris-based from 1878
  85 | SCARLATTIALESSANDRO  | Scarlatti, Alessandro                      |      1660 |    1725 | Naples                | Italian; Rome- & Naples-based from 1672
  86 | SCARLATTIDOMENICO    | Scarlatti, Domenico                        |      1685 |    1757 | Naples                | Italian-Spanish; Naples-, Rome- & Venice-based to c1719; thereafter in Portugal & Spain
  87 | SCHOENBERGARNOLD     | Schoenberg, Arnold                         |      1874 |    1951 | Vienna                | Austrian-American; mainly Vienna-based to 1933; U.S.-based thereafter, mainly in Los Angeles
  88 | SCHUBERTFRANZ        | Schubert, Franz                            |      1797 |    1828 | Vienna                | Austrian; Vienna-based
  89 | SCHUMANNROBERT       | Schumann, Robert                           |      1810 |    1856 | Lepzig                | German; in later years lived in Leipzig, Dresden & Dusseldorf
  90 | SCHÜTZHEINRICH       | Schütz, Heinrich                           |      1585 |    1672 | Dresden               | German; intermittently Dresden-based from 1615
  91 | SCRIABINSKRYABINALEX | Scriabin [Skryabin], Alexander [Aleksandr] |      1872 |    1915 | Moscow                | Russian; Moscow-based to 1903
  92 | SHOSTAKOVICHDMITRY   | Shostakovich, Dmitry                       |      1906 |    1975 | St. Petersburg        | Russian; mainly St. Petersburg- & Moscow-based
  93 | SIBELIUSJEAN         | Sibelius, Jean                             |      1865 |    1957 | Lake Tuusula, Finland | Finnish; from 1904 resided near Lake Tuusula
  94 | SMETANABEDRICH       | Smetana, Bedrich                           |      1824 |    1884 | Prague                | Bohemian; mainly Prague-based from 1838
  95 | STOCKHAUSENKARLHEINZ | Stockhausen, Karlheinz                     |      1928 |    2007 | Cologne               | German; lived near Cologne from 1965
  96 | STRAUSSJOHANNJR      | Strauss, Johann Jr.                        |      1825 |    1899 | Vienna                | Austrian; Vienna-based
  97 | STRAUSSRICHARD       | Strauss, Richard                           |      1864 |    1949 | Germany               | German
  98 | STRAVINSKYIGOR       | Stravinsky, Igor                           |      1882 |    1971 | Paris                 | Russian-French-American; Paris-based 1911-39, U.S.-based thereafter
  99 | SULLIVANARTHUR       | Sullivan, Arthur                           |      1842 |    1900 | London                | British; London-based
 100 | TCHAIKOVSKYPYOTRILYI | Tchaikovsky, Pyotr Il'yich                 |      1840 |    1893 | St. Petersburg        | Russian; mainly St. Petersburg- & Moscow-based from 1850
 101 | TELEMANNGEORGPHILIPP | Telemann, Georg Philipp                    |      1681 |    1767 | Hamburg               | German; Hamburg-based from 1721
 102 | VAUGHANWILLIAMSRALPH | Vaughan Williams, Ralph                    |      1872 |    1958 | London                | British; mainly London-based
 103 | VERDIGIUSEPPE        | Verdi, Giuseppe                            |      1813 |    1901 | North Italy           | Italian; mainly North Italy-based
 104 | VILLALOBOSHEITOR     | Villa-Lobos, Heitor                        |      1887 |    1959 | Rio de Janeiro        | Brazilian; mainly Rio de Janeiro-based (Paris-based 1923-30)
 105 | VIVALDIANTONIO       | Vivaldi, Antonio                           |      1678 |    1741 | Venice                | Italian; mainly Venice-based
 106 | WAGNERRICHARD        | Wagner, Richard                            |      1813 |    1883 | Germany               | German
 107 | WALTONWILLIAM        | Walton, William                            |      1902 |    1983 | England               | British; from 1956 Italy-based
 108 | WEBERCARLMARIAVON    | Weber, Carl Maria von                      |      1786 |    1826 | Germany               | German
 109 | WEBERNANTONVON       | Webern, Anton (von)                        |      1883 |    1945 | Vienna                | Austrian; mainly Vienna-based
 110 | WEILLKURT            | Weill, Kurt                                |      1900 |    1950 | Germany               | German-American; U.S.-based from 1935
 111 | WOLFHUGO             | Wolf, Hugo                                 |      1860 |    1903 | Vienna                | Austrian; mainly Vienna-based from 1875
(111 rows)

